id,x1,x2,x3,x4,x5,y
98,5,3,7,6,8,281.7877582806103
99,6,9,4,5,3,442.3713247799037
100,8,7,3,2,0,580.197116252569
101,9,4,4,2,1,783.8919859623644
102,1,3,8,7,6,141.9624469057884
103,8,4,8,6,8,710.571072103416
104,2,0,1,7,7,46.369985643584805
105,1,6,6,2,0,65.4666441914522
106,8,9,6,8,7,903.4529535855411
107,9,0,5,4,6,764.6155239864307
108,9,4,5,4,3,828.8986955533838
109,4,9,6,9,7,460.7038951556033
110,0,2,1,4,8,91.1502054621702
111,3,6,2,2,0,79.53143864294574
112,0,8,7,8,7,349.1347587862998
113,5,2,7,6,0,180.4963681660794
114,1,9,2,3,1,139.2138419647887
115,8,3,4,1,1,550.860673864797
116,3,6,4,0,2,123.21850383700387
117,2,5,3,2,8,212.9570041204728
118,2,3,6,9,6,152.0259534494466
119,6,9,5,8,7,604.0038504706275
120,1,4,9,2,5,134.2798990633862
121,0,5,6,2,1,73.31217323490822
122,7,4,1,0,2,394.94774592930196
123,8,6,4,4,9,796.2459136538596
124,2,7,8,0,2,137.65816966211602
125,4,7,9,3,9,407.23543146842724
126,1,4,5,7,5,147.37289979374086
127,8,5,6,3,5,670.5587785806038
128,2,6,0,8,8,276.50823085833827
129,6,9,4,2,4,463.16356713439444
130,2,5,6,6,9,261.18244871175267
131,8,0,3,8,1,561.8135800440697
132,9,4,2,3,7,878.4250015313387
133,6,4,3,5,0,266.14727209582577
134,8,0,3,6,3,551.0079515779662
135,8,0,8,6,8,566.6103033303605
136,6,6,9,7,0,314.78489753462367
137,8,3,4,2,8,639.4390040153784
138,7,2,9,4,7,450.73724165472436
139,0,6,3,5,1,94.45879608197248
140,6,7,8,4,0,309.7682267714291
141,0,6,3,2,3,127.8555467938429
142,0,0,0,9,9,45.942001800248384
143,2,9,3,0,6,314.1674069691458
144,6,3,8,5,8,370.83299856609204
145,6,5,1,8,1,304.21581048560745
146,9,0,4,5,6,766.1671085607805
147,9,0,9,9,4,801.6211532689629
148,3,5,9,0,7,219.70521471124553
149,9,5,5,5,1,814.9081515076746
150,6,0,7,8,7,277.9566822240305
151,6,6,1,5,3,352.2509261257677
152,3,2,1,9,6,127.19519049104048
153,0,3,5,1,4,77.03571650803752
154,8,0,9,7,0,574.1656327756132
155,9,8,4,4,1,857.3048015388778
156,4,7,3,7,6,325.7521016541936
157,4,5,5,5,8,289.009754447441
158,6,4,6,7,9,429.25904019954197
159,3,2,9,4,0,78.24523234199738
160,3,8,5,7,4,269.2479193589938
161,1,5,2,7,4,147.64129322720353
162,6,4,5,7,9,426.4112210708558
163,3,0,5,9,7,87.21067853080264
164,0,7,7,4,1,118.12542271622337
165,8,1,7,8,0,574.5390676796881
166,7,6,2,2,8,587.6118706414593
167,5,3,7,2,1,177.26797884503586
168,2,9,3,2,4,252.51711639884093
169,6,9,6,8,4,499.1221561205202
170,7,5,5,3,5,498.5358494640482
171,8,3,5,5,6,633.0651225676945
172,3,4,5,4,3,126.52968350183204
173,2,1,5,1,9,65.8065834741477
174,9,9,5,1,3,938.92604875353
175,8,7,7,1,0,587.279210253099
176,0,1,4,5,2,46.30648847654507
177,6,6,1,5,1,304.4777023959312
178,4,9,2,6,9,505.09231889763095
179,7,1,8,2,4,394.42165541231606
180,1,2,4,0,8,81.5691670756635
181,4,0,0,7,6,99.17181724296874
182,5,1,6,8,5,204.57924800275936
183,4,7,0,3,8,352.736871267874
184,6,7,8,4,4,421.51031194114165
185,2,7,5,0,8,296.093516729452
186,9,4,0,7,0,780.6808249000978
187,2,6,7,1,7,238.84481089369447
188,7,3,0,5,2,401.99022483031416
189,1,4,0,5,7,154.57176059909196
190,4,7,6,1,5,276.0611971488068
191,7,1,9,4,9,427.7853607562719
192,5,7,1,0,8,401.810712869396
193,1,3,2,1,0,21.107289722772087
194,5,2,2,9,1,188.74990596005566
195,2,2,1,6,3,69.83367898499161
196,1,0,3,1,8,15.225087891106202
197,6,8,4,9,3,433.0264417149555
198,5,6,0,6,8,383.48880778953196
199,1,1,6,3,0,35.65753217732561
200,7,6,2,2,3,467.73883683804473
201,4,9,6,9,9,532.0639927749435
202,7,0,8,4,8,387.6861089386301
203,6,5,2,8,5,387.42499244681954
204,6,1,4,0,1,233.830232928451
205,7,4,4,9,8,544.5916343998257
206,8,1,8,4,6,581.4552104010615
207,5,7,7,4,8,439.7433397427402
208,9,3,1,9,4,834.240097093833
209,5,8,7,1,9,503.40626577708986
210,6,4,6,0,7,362.12013062806506
211,8,0,7,3,9,548.1544685487445
212,3,1,8,5,8,109.92536414168542
213,6,9,1,7,8,623.6348518385971
214,3,1,1,4,0,51.40454138824895
215,6,6,6,4,6,434.32121918410854
216,4,3,9,3,6,187.60862614424016
217,5,8,5,4,8,480.75491019038265
218,3,1,4,2,3,62.312301961327044
219,1,8,8,5,9,402.1659585839124
220,2,1,9,3,7,79.06676169976032
221,5,6,2,4,3,259.1618221445089
222,3,3,4,4,7,152.30047891964702
223,2,1,5,7,8,91.92933485315852
224,5,8,5,4,9,512.804531312834
225,6,6,1,9,8,492.73968019867516
226,9,6,4,2,7,955.5351168104328
227,5,5,1,2,8,323.872761015323
228,4,2,2,8,6,162.47538691499935
229,1,6,0,5,9,278.0952741900122
230,2,8,3,0,8,337.36257774503474
231,8,0,0,4,9,532.7704279613351
232,8,4,8,0,0,552.664396745441
233,1,3,1,9,1,70.51343549774471
234,7,1,2,7,1,389.37885797044834
235,8,5,8,2,6,691.1375221422425
236,3,6,4,5,7,268.03694051484797
237,8,6,7,9,7,782.1686334022321
238,6,4,6,3,3,313.48605762748844
239,8,6,2,2,6,708.2768899921005
240,9,9,5,8,1,901.8165333704919
241,3,4,3,0,6,148.67157278429823
242,9,9,1,4,8,1121.9613010081036
243,7,7,7,4,1,461.6794554962298
244,3,4,6,9,6,202.5329021937267
245,1,4,0,1,8,150.8061250068423
246,9,6,4,1,5,902.2611817284933
247,6,1,6,0,9,271.90496867837
248,7,1,4,9,3,413.46589029837327
249,0,7,4,8,7,297.58500185245236
250,7,7,4,6,2,490.5642028149522
251,6,8,0,9,6,517.2863925621842
252,2,9,7,7,9,469.0522605393864
253,5,5,2,8,7,336.56003887956325
254,6,4,6,0,8,378.5819104109349
255,7,9,3,9,7,730.6268579478651
256,7,1,6,0,2,370.03827249845676
257,8,8,5,5,2,680.9546563514522
258,9,9,1,5,2,910.3189219116233
259,0,9,8,4,4,269.9201717907001
260,4,9,4,9,7,454.50325139306574
261,2,5,2,6,7,209.61634196781395
262,6,1,3,3,8,273.14817573471834
263,9,4,0,4,1,781.1004860308844
264,5,9,7,8,5,447.8125421375748
265,7,3,2,3,9,481.75966544086657
266,7,3,7,2,9,491.25925392909835
267,0,8,7,4,6,297.09189899372205
268,8,7,0,7,2,652.2975500962657
269,7,3,6,1,1,387.1941996388993
270,8,7,0,1,5,706.7094990475302
271,7,7,1,0,4,507.06032452684633
272,5,2,0,2,3,163.8842450167817
273,5,6,8,8,7,393.13338011349884
274,2,7,4,1,0,74.43420087344188
275,4,7,3,5,0,147.9504011781782
276,3,9,1,7,1,182.35592425844717
277,9,6,3,3,4,885.3696664014905
278,9,1,9,6,8,819.6548270648142
279,7,4,0,0,9,503.2811740167142
280,6,2,2,1,2,247.53333710628553
281,5,9,9,7,7,520.2791317395348
282,1,9,6,5,1,161.57298873451637
283,6,9,2,1,5,488.31315937268977
284,3,8,1,8,7,358.379556464693
285,4,0,5,7,7,114.77911741824903
286,0,2,8,3,5,83.3986191215319
287,0,5,9,5,9,257.2144635148667
288,0,2,9,2,8,105.15551516344462
289,8,0,7,2,9,543.7791015007875
290,4,9,6,3,3,286.62305332436244
291,2,9,2,5,6,336.12180905277
292,7,7,1,2,3,489.19386812277133
293,9,3,8,8,6,874.4609287530408
294,5,9,3,5,1,276.8349493735312
295,5,3,1,0,0,137.74998358036405
296,3,5,0,7,2,127.4744420891754
297,4,6,5,5,5,260.4756575294817
298,2,0,7,8,5,69.56135355414969
299,9,7,0,8,7,1014.4647041088953
300,7,6,1,4,6,546.2179856123041
301,3,8,0,2,5,261.73430715921285
302,5,8,8,4,9,521.181586415241
303,8,5,7,2,8,728.6245994800536
304,7,7,7,9,7,654.5181966659087
305,2,3,3,6,5,116.06038760686424
306,4,9,5,0,6,376.6326240031381
307,3,7,1,4,6,267.2390245692999
308,6,5,4,0,8,413.0945868044476
309,2,1,0,1,7,42.48582783809646
310,5,2,2,8,2,191.38734867687282
311,4,3,5,4,1,120.60556961456642
312,2,6,3,4,1,97.30495195543885
313,4,4,1,7,8,246.90294806230574
314,4,0,2,9,9,115.95570561354558
315,0,6,5,3,7,234.63871159127564
316,5,6,5,2,4,282.44665977568513
317,0,0,2,8,7,46.304359254598936
318,2,6,8,3,1,107.69189366182776
319,4,2,8,5,2,133.2935355657535
320,9,0,4,4,4,761.5424738166594
321,9,7,8,9,8,1071.3730187486408
322,0,1,4,8,6,77.15951553600928
323,4,4,5,8,9,279.0566720962902
324,4,0,3,6,9,103.03635331801433
325,5,5,3,2,6,289.55591609608956
326,5,0,6,6,1,173.68815798496365
327,8,8,5,6,7,845.9021577731737
328,0,4,6,7,2,101.44703687750753
329,5,8,2,8,8,491.0760273247984
330,2,3,2,6,4,101.58055029383121
331,1,4,2,1,9,172.88809957985916
332,5,7,2,2,0,190.09435397440913
333,1,5,0,7,8,221.10357332567713
334,9,4,4,3,4,836.6229191665176
335,6,0,7,6,4,267.09274794799177
336,3,4,6,0,7,173.37741981748172
337,1,9,9,0,7,361.48448045069006
338,6,3,4,7,6,344.98912975936463
339,6,5,5,6,7,426.73955844463273
340,5,4,6,4,0,179.63772057875778
341,4,1,0,9,3,122.79417643839722
342,6,3,6,5,4,316.2249182806397
343,7,7,7,6,2,499.75243285253066
344,4,9,2,7,8,474.1696023403045
345,3,7,7,2,6,275.31395078147614
346,1,7,3,1,3,148.74141130913543
347,4,1,7,4,9,142.40041549814947
348,2,2,2,9,1,71.38030232519023
349,1,1,4,0,0,14.203156311227946
350,9,6,5,8,9,1036.5927133402747
351,2,9,9,4,5,316.2718321981992
352,5,8,1,5,2,281.7320097315702
353,4,0,5,2,0,89.6443140410028
354,9,4,4,6,1,803.2250684348634
355,9,0,5,9,1,789.2011163205455
356,8,5,4,4,0,569.4714029575026
357,0,2,3,6,6,91.30983166644508
358,3,9,4,0,8,408.13518661035266
359,5,6,9,7,8,415.9276208792868
360,1,7,3,2,7,265.0904620381554
361,7,7,9,1,9,676.9102605466669
362,6,2,0,1,5,265.5001112492662
363,3,2,6,1,2,70.74785900456764
364,7,8,9,4,8,710.175970573347
365,3,1,6,6,9,112.10240090956277
366,1,5,7,7,6,202.82564541617202
367,5,0,5,5,5,165.4868097592232
368,3,6,4,5,8,292.4034067254936
369,7,1,3,4,6,397.5606203527245
370,0,5,8,2,2,99.52316456887046
371,5,4,1,4,7,276.4438293238705
372,9,4,2,7,9,930.9107129507086
373,8,1,9,6,6,594.5626753040998
374,5,0,7,7,1,181.18584617636682
375,3,8,8,8,8,411.80221328585645
376,2,7,7,4,4,210.01838969208947
377,2,8,8,0,4,224.87699930665235
378,5,4,1,9,9,333.9003991533319
379,2,5,1,2,6,166.7070391774697
380,4,5,0,3,8,264.90501813625247
381,0,1,6,4,4,55.05883983887136
382,2,5,5,8,1,108.80918114054867
383,4,4,1,7,2,150.56680828239112
384,9,6,0,0,4,861.6040927730982
385,2,6,6,1,6,211.93201505024803
386,0,4,9,3,9,202.01309376149314
387,0,8,4,7,9,399.5875025049543
388,8,5,5,2,8,722.9698187887232
389,3,0,5,7,6,77.68261891927769
390,9,8,7,0,0,814.6135878435239
391,0,9,2,9,7,384.76027303763067
392,7,3,3,0,0,361.93693260193646
393,2,9,2,6,0,125.0910757922742
394,2,3,0,5,3,78.09014619667383
395,7,8,7,4,8,704.8988342522432
396,2,3,5,2,8,138.842099193752
397,7,3,4,7,0,399.99116627855494
398,0,4,4,8,7,180.33959801727352
399,2,6,2,1,8,247.39527614978365
400,1,2,6,2,4,65.66348541927216
401,3,7,0,3,1,119.89483139040793
402,4,8,8,1,9,445.09081252463375
403,7,1,2,7,9,421.1181887072884
404,7,3,9,4,3,435.31361392717014
405,7,4,0,8,4,463.163287537181
406,6,2,1,8,4,295.1406192210691
407,0,1,7,1,9,63.34835532010243
408,7,6,4,5,3,488.8246912789351
409,6,1,2,6,5,273.7908799748099
410,7,4,9,5,4,475.7353936554611
411,9,8,2,1,7,1028.5328208918017
412,3,0,4,1,0,44.26631252479124
413,0,7,3,6,6,256.5257688756732
414,0,8,3,5,1,130.52271071671157
415,7,1,9,6,0,401.93831553247264
416,1,0,6,0,5,19.336380611741987
417,0,9,6,8,1,175.61392502790017
418,0,2,6,3,6,85.46065824722155
419,5,5,0,0,6,270.08840590795444
420,8,6,3,6,9,803.291634361417
421,3,1,5,5,1,72.9598752632082
422,9,3,0,4,0,758.6062980711441
423,3,5,5,0,2,107.04566121544707
424,2,8,1,2,7,309.52475679266666
425,0,5,8,0,7,189.17404005892612
426,5,7,1,8,3,301.5778673899508
427,1,5,8,4,7,210.31248173174185
428,9,7,4,1,1,823.4879368394508
429,7,9,6,9,6,703.5917063053521
430,8,5,7,0,4,638.1511172251473
431,2,4,1,3,6,138.96687138048952
432,3,6,0,0,4,159.37493680580207
433,6,4,7,0,8,381.37212228726975
434,0,1,4,2,3,35.26163996652342
435,0,4,6,8,9,218.09947691232927
436,5,1,1,2,2,147.23108466655995
437,4,1,1,1,7,101.64225675618395
438,2,3,2,3,6,110.64534039820124
439,5,8,8,4,2,297.20591264023733
440,7,6,2,7,7,588.7304215068393
441,1,3,4,0,3,58.88330275088953
442,3,6,9,0,0,90.26582103146467
443,5,2,0,3,4,176.49490502359788
444,2,4,5,9,0,84.07140629029257
445,4,3,1,4,9,204.6994553197361
446,8,6,6,3,8,773.5085684886544
447,2,6,8,0,9,284.4646522202493
448,7,3,7,5,0,398.4398026201751
449,1,9,8,2,0,116.87404464892043
450,6,3,2,3,5,306.1276675349685
451,2,1,5,9,7,97.99878063546728
452,0,3,7,9,3,111.54481625120309
453,5,9,0,8,0,246.22595322309178
454,8,7,0,9,9,858.1421105468718
455,0,7,1,6,3,166.08743292765166
456,1,7,7,8,6,279.934478888777
457,4,2,8,4,5,152.60082709998963
458,8,7,2,5,6,760.5466626493181
459,6,2,6,7,7,329.5819688886701
460,2,9,3,3,9,437.47961347278
461,1,8,0,5,0,90.30822627939325
462,5,9,7,8,4,411.42026377206673
463,0,5,4,9,6,202.708035232459
464,6,8,8,7,2,403.8558624462588
465,0,8,9,1,3,192.00211623320396
466,9,3,8,9,4,855.4091310134218
467,0,7,0,3,7,260.68573176625864
468,7,6,7,3,0,415.35936926066455
469,8,4,0,5,6,649.1131677968373
470,4,1,4,2,7,115.5533903664022
471,7,2,6,1,6,418.25813822417075
472,8,4,7,4,7,681.1924407330682
473,7,1,6,3,7,405.164558964227
474,7,5,8,9,0,437.97173457185266
475,8,5,2,3,8,718.0369558735983
476,0,0,3,1,9,14.571752271593354
477,0,2,2,0,7,66.03088237184912
478,4,1,3,1,6,103.99263019497126
479,3,0,2,5,3,58.860398425541035
480,7,1,4,1,8,393.95589666862315
481,0,8,2,2,1,112.29759673086376
482,7,9,6,5,4,611.2639546721718
483,1,6,5,5,8,269.9749215796285
484,1,9,9,1,5,294.82221323655034
485,6,6,1,8,4,391.4781471140712
486,6,5,3,3,9,445.8593051583559
487,6,9,3,7,8,629.5014780848783
488,2,1,2,6,4,61.99346536379427
489,3,9,1,4,6,347.4765799155923
490,1,6,4,1,0,54.16799362151881
491,9,3,5,1,9,866.6869343495487
492,9,0,5,2,5,754.4268842895505
493,4,2,1,3,5,126.71812304119487
494,6,6,0,3,4,363.60802385099464
495,0,6,4,8,3,160.4431292677334
496,5,3,3,4,2,187.36410643638814
497,6,6,0,7,7,455.45666175678167
498,3,8,5,8,7,370.0367431384172
499,4,7,0,7,8,372.3898909534375
500,2,2,2,2,2,44.59488243406926
501,1,5,8,5,0,75.44262451432748
502,9,8,2,2,0,809.193517550227
503,8,5,1,3,6,675.9655330267381
504,6,7,5,8,4,432.3356154776375
505,7,8,3,2,3,522.0432035545672
506,4,0,8,6,4,118.39386498793998
507,7,4,5,0,9,518.004426008131
508,2,6,8,7,7,271.03586754261676
509,6,3,9,0,5,312.3307959144628
510,1,7,9,8,0,117.49808912683311
511,6,2,1,3,8,302.017366123144
512,1,9,1,9,9,454.269971044464
513,5,5,5,9,0,210.26973973692444
514,1,4,0,0,1,33.171819053964576
515,4,1,6,4,9,139.09148383575172
516,1,9,3,7,8,414.2882046745061
517,7,1,4,4,4,392.41913836772864
518,6,7,9,8,6,500.7756741429145
519,4,1,7,8,4,142.20264140725504
520,3,4,3,5,4,141.91991604280304
521,9,0,9,9,7,801.1277071525591
522,5,8,5,6,3,330.1996636200789
523,0,5,8,4,1,89.2902310432784
524,0,2,7,1,0,30.900501708556355
525,1,5,3,0,8,195.45287226599567
526,4,2,8,8,0,132.4976541928903
527,0,6,2,7,3,149.20362536850678
528,3,0,7,6,1,78.36765750081766
529,0,5,1,5,3,113.86195219149782
530,7,4,9,8,3,474.9971161879684
531,4,4,5,4,8,243.03499728281793
532,8,0,5,4,4,547.4191557678106
533,9,6,7,0,4,882.6184631133148
534,0,4,7,2,5,127.43810135405137
535,1,5,9,6,6,203.28612688110394
536,2,4,1,6,8,185.60052962219046
537,3,4,7,9,5,189.40744477898772
538,9,0,2,2,5,745.430012254147
539,6,8,8,2,7,538.0736145472516
540,8,9,0,1,6,814.697036320786
541,0,5,3,5,6,179.44759846814145
542,3,0,4,9,0,84.99842391161057
543,2,4,8,6,4,142.15196012098272
544,2,3,8,0,4,89.62009043493943
545,3,2,4,7,2,94.07374982772237
546,6,2,5,8,5,315.72470531928155
547,1,4,7,7,1,89.85828021075892
548,6,7,2,4,6,459.97489048034566
549,5,6,5,5,1,225.11842505137398
550,8,3,4,3,4,596.4844015628003
551,3,4,3,3,5,147.35850792312678
552,5,0,5,9,9,185.54341914816035
553,4,9,9,5,0,197.32179731307886
554,7,4,9,1,6,487.05748786809187
555,0,9,0,5,9,430.8555464984065
556,9,0,7,3,1,765.2996271528252
557,7,5,5,3,9,578.7944279729497
558,2,9,3,1,9,427.9222068749572
559,5,6,2,8,3,279.8675606393741
560,4,8,0,2,0,138.9182790931042
561,7,6,7,0,0,400.17454893594066
562,3,4,8,6,0,97.03108933097423
563,5,0,3,3,8,149.26319568812167
564,3,1,4,6,8,102.50064057448604
565,4,8,5,2,2,217.25216736087376
566,3,8,8,8,7,379.8596599831545
567,1,0,6,6,4,49.9767155589329
568,8,3,2,1,3,568.9018772849721
569,8,3,7,9,4,635.7975258954609
570,9,6,8,2,1,823.0640895518479
571,0,5,7,5,5,171.47409812637753
572,0,7,3,1,9,315.12288651124777
573,2,1,1,6,1,46.16097570335355
574,3,2,6,5,4,106.95737668898107
575,7,8,2,2,1,455.9591051185952
576,6,2,3,1,4,266.1457243901723
577,8,5,4,3,2,604.2174635908262
578,5,0,3,0,4,134.65601740572149
579,0,4,5,3,5,126.11056711526984
580,7,4,4,5,4,460.82953053158826
581,0,1,0,7,7,64.47277561424083
582,5,4,7,7,6,293.9386333636846
583,4,3,6,8,6,203.1509737408008
584,0,8,7,5,1,142.64064738992505
585,5,6,7,6,8,404.16543522270985
586,6,5,2,7,0,282.92220937597676
587,6,9,0,6,4,471.75815447838016
588,0,1,6,3,7,62.639509051670004
589,7,1,5,6,9,425.7358154955384
590,9,9,3,0,1,855.0533596933947
591,4,4,0,4,6,196.8543642240394
592,2,7,3,2,4,188.9641175399507
593,0,5,9,8,9,272.217584605148
594,7,8,4,0,3,515.2973304059424
595,4,2,5,2,3,117.95359220137206
596,6,3,8,7,8,380.4902476286614
597,3,8,1,0,3,190.57107627248752
598,1,4,2,3,3,86.63935768873603
599,5,0,6,2,1,153.41058210636763
600,6,4,7,7,9,432.6409086858898
601,8,5,3,8,1,606.2440451085315
602,4,3,5,0,0,88.27517208183752
603,7,0,5,9,0,403.15153947951615
604,6,6,1,1,2,308.551879660922
605,3,1,2,6,4,80.25239632187214
606,4,2,7,2,2,115.69306827253601
607,3,0,4,4,1,59.3523662672282
608,1,3,1,4,1,45.037925603070015
609,7,9,1,6,1,493.7257215065929
610,7,8,7,8,0,468.9169476822863
611,3,7,9,6,6,301.1945286630995
612,7,0,8,2,9,377.6141602416714
613,2,5,1,5,6,181.18596093001972
614,2,4,6,6,6,168.18417301767548
615,5,2,8,1,7,214.1363685824979
616,7,2,7,4,1,396.61544728974155
617,5,2,2,2,8,209.90896886156813
618,8,8,1,4,9,887.656479697385
619,6,2,5,9,8,344.76309681280617
620,0,7,1,1,8,281.7596395711145
621,0,5,7,1,7,191.49277340971682
622,7,2,9,8,3,438.73594781330877
623,3,4,0,5,6,164.5675075467669
624,3,3,8,1,7,149.3240466532273
625,1,3,4,7,1,69.39409775117578
626,1,5,0,0,7,166.98840008885878
627,0,3,0,7,4,92.41100124972063
628,6,0,6,6,1,264.8670227084286
629,6,9,8,0,1,357.23089510442253
630,3,9,7,3,8,432.8508484397801
631,5,3,3,6,4,221.6051093546768
632,9,5,6,9,5,917.5666823328918
633,6,9,0,5,1,358.57898612979415
634,1,2,4,7,6,100.79827426591686
635,3,9,2,8,5,334.61815691266634
636,1,0,2,2,2,17.542441874788924
637,9,3,1,5,3,802.2368715607881
638,6,8,1,0,7,507.9111409750804
639,3,2,5,4,2,82.15980266917572
640,3,1,0,6,4,74.13262202179392
641,8,5,7,2,6,688.9118243081833
642,5,2,0,4,0,149.9190900240222
643,9,5,5,9,3,874.9403201003512
644,4,7,7,8,7,370.07735469357937
645,6,9,8,7,2,428.8924241184213
646,7,4,1,5,2,419.8108492418046
647,5,4,6,6,8,317.07810082194953
648,0,1,1,1,8,41.081001972694246
649,9,0,9,1,9,761.7417411989976
650,7,9,8,2,2,530.110457909313
651,3,4,3,8,0,92.11641691430914
652,0,6,5,9,3,168.85043446444226
653,1,1,8,0,4,42.06370500887025
654,4,3,4,7,5,180.27192844416814
655,5,7,4,3,1,229.20109400073264
656,3,5,6,7,2,145.15871377942264
657,1,1,5,9,4,78.0659371711912
658,7,0,0,9,5,388.5070080932954
659,0,5,6,1,6,168.49502841300563
660,2,2,8,5,5,101.01272876910622
661,4,1,2,8,2,119.43195213846703
662,2,6,2,2,1,84.69084795235489
663,1,0,7,0,6,22.051050380168796
664,7,5,5,8,5,523.9875811836995
665,3,4,7,3,4,143.03010717032478
666,8,4,1,3,9,690.4002003589594
667,8,1,7,3,4,565.1053200720063
668,9,3,5,9,2,822.6640258947161
669,5,8,6,2,0,217.499222076383
670,6,3,3,7,8,365.8545914892813
671,4,5,3,2,8,268.72605635296264
672,7,0,5,0,2,358.41857710474665
673,0,0,1,4,0,23.271087107131915
674,5,2,4,0,9,213.46238543076865
675,2,5,8,5,8,242.75543068682708
676,7,6,1,3,9,613.2036625731529
677,1,3,0,5,3,71.9286570848102
678,9,2,8,2,5,807.1655260764362
679,5,1,5,1,8,178.8851257396898
680,3,3,4,6,0,78.0766011475221
681,2,9,6,9,5,332.77491551327984
682,9,7,4,3,8,1029.755048420643
683,4,1,1,1,4,89.25377287972167
684,4,3,0,8,2,137.319792857157
685,5,2,0,4,8,213.92087819287198
686,2,1,0,6,7,67.78893116788649
687,9,4,5,5,3,833.0256690036891
688,3,9,8,4,6,368.83643269242333
689,9,6,9,4,7,980.4771895663378
690,5,7,2,3,1,223.12670355314913
691,0,8,7,4,4,233.45071787313984
692,4,0,7,5,7,110.8990001980931
693,9,4,0,9,5,870.89106165067
694,3,6,3,7,3,179.4822518996476
695,5,6,3,6,5,320.5999797485099
696,0,0,1,9,5,48.9136143659365
697,5,8,6,6,5,397.99624525751005
698,3,4,5,2,7,180.55696552138238
