comments_count,replies_count,both_count,sentence_count,word_count,basic_emotions,basic emotions_fear,basic_emotions_anger,basic_emotions_sadness,basic_emotions_joy,basic_emotions_surprise_interest,basic_emotions_disgust,emotions_of_social_evaluation,emotions_of_social_evaluation_contempt,emotions_of_social_evaluation_shame,emotions_of_social_evaluation_guilt,emotions_of_social_evaluation_embarrassment,emotions_of_social_evaluation_pride,emotions_of_social_evaluation_envy,state,state_excited,state_rest,state_estimate,state_process_execution,target
45,57,102,79,684,11,2,0,1,6,0,2,0,0,0,0,0,0,0,2,0,2,0,0,2
574,538,1112,1062,10668,164,19,13,32,32,16,52,26,13,3,0,7,2,1,80,9,62,1,8,2
44,37,81,113,1394,17,0,2,5,6,2,2,0,0,0,0,0,0,0,17,4,12,0,1,2
39,0,39,42,239,3,2,0,0,1,0,0,0,0,0,0,0,0,0,5,4,1,0,0,1
2796,2463,5259,5124,49885,879,29,61,179,322,113,175,17,6,5,2,1,3,0,278,31,217,0,30,1
45,8,53,53,358,4,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
220,106,326,260,2340,20,0,0,5,10,0,5,0,0,0,0,0,0,0,15,0,14,0,1,1
22990,6372,29362,30897,268401,4315,389,423,737,815,733,1218,385,95,76,82,69,20,43,2547,307,2147,9,84,0
2502,2713,5215,4821,48921,791,59,92,156,169,75,240,74,26,20,13,4,8,3,416,81,320,0,15,2
19,0,19,22,124,5,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
345,141,486,543,4065,60,0,2,6,39,6,7,4,3,0,1,0,0,0,28,0,25,0,3,1
13,51,64,48,447,4,0,0,1,2,0,1,0,0,0,0,0,0,0,3,0,3,0,0,2
584,170,754,910,7349,93,2,7,11,35,18,20,8,2,1,2,2,0,1,58,2,44,1,11,1
28,0,28,34,374,8,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
66,22,88,116,1057,31,0,1,4,9,8,9,0,0,0,0,0,0,0,4,0,3,0,1,1
52,0,52,78,773,11,1,1,4,3,2,0,0,0,0,0,0,0,0,3,0,1,0,2,1
97,20,117,194,1835,21,1,0,4,7,6,3,5,2,1,0,2,0,0,17,5,12,0,0,2
50,55,105,97,1068,15,1,0,5,0,0,9,1,0,0,1,0,0,0,12,0,12,0,0,2
1697,753,2450,2949,25398,440,16,21,55,197,52,99,9,0,1,6,0,1,1,239,29,187,1,22,1
47,7,54,48,339,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
79,0,79,130,724,21,0,0,1,18,0,2,0,0,0,0,0,0,0,8,0,7,0,1,1
374,369,743,820,8993,120,11,15,19,22,12,41,9,2,1,2,0,3,1,77,10,64,1,2,2
13,0,13,12,99,2,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,3,0,0,1
117,25,142,122,815,24,0,8,6,8,1,1,1,0,0,0,0,1,0,8,0,7,0,1,1
2,0,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
15,6,21,51,364,4,0,0,1,2,0,1,1,0,0,1,0,0,0,3,0,3,0,0,2
93,12,105,99,749,11,0,1,0,2,4,4,0,0,0,0,0,0,0,9,2,7,0,0,1
439,488,927,531,5392,106,8,4,37,32,8,17,16,4,1,1,0,9,1,38,1,35,0,2,2
59216,27526,86742,89267,824543,13985,1084,1007,2089,3815,1487,4503,1193,261,345,268,85,115,119,7893,841,6692,16,344,0
128,44,172,231,2653,59,5,3,8,15,11,17,3,0,0,0,1,2,0,16,2,12,0,2,2
69,0,69,102,790,7,0,0,1,5,0,1,0,0,0,0,0,0,0,7,0,6,0,1,1
97,12,109,107,784,13,0,0,10,2,1,0,0,0,0,0,0,0,0,2,0,2,0,0,1
462,82,544,547,3558,61,0,2,2,50,5,2,0,0,0,0,0,0,0,21,2,16,0,3,1
218,412,630,447,5017,79,6,10,17,22,7,17,5,0,3,1,0,0,1,39,4,33,0,2,2
9,0,9,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,47,68,41,498,7,0,0,0,1,3,3,0,0,0,0,0,0,0,10,2,8,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,0,13,141,1823,40,1,5,10,4,3,17,6,3,1,1,0,1,0,11,2,9,0,0,2
38,6,44,121,1374,25,1,6,4,8,3,3,1,0,0,0,0,0,1,16,3,13,0,0,2
524,305,829,1198,8931,134,3,4,19,87,11,10,0,0,0,0,0,0,0,90,14,65,3,8,1
426,319,745,742,6580,124,5,13,22,29,16,39,44,2,35,3,1,2,1,60,9,50,0,1,2
135,154,289,310,3074,57,8,2,9,11,5,22,1,0,0,0,0,0,1,22,3,15,0,4,1
57,10,67,88,872,11,0,0,3,3,2,3,3,1,0,0,2,0,0,13,4,9,0,0,2
29,17,46,88,1041,17,0,2,3,7,3,2,0,0,0,0,0,0,0,11,3,8,0,0,2
299,59,358,454,2795,62,1,3,8,30,5,15,0,0,0,0,0,0,0,32,4,28,0,0,1
455,472,927,734,7246,150,6,13,31,34,19,47,13,3,5,1,0,4,0,47,11,32,0,4,2
